Designator,Mid X,Mid Y,Layer,Rotation
C1,-9.200000,-12.820000,bottom,0
C2,-14.440000,-19.740000,bottom,180
C3,6.112500,-15.730000,bottom,180
C4,20.147500,-18.262500,bottom,180
C5,6.112500,-16.730000,bottom,180
C6,15.380000,-11.980000,bottom,180
C7,12.030000,-12.010000,bottom,180
C8,15.152500,-21.777500,bottom,0
C9,10.360000,-22.060000,bottom,270
C10,20.147500,-17.143500,bottom,0
C11,7.112500,-19.730000,bottom,180
C12,7.112500,-20.730000,bottom,180
C13,9.300000,-22.070000,bottom,270
C14,8.210000,-22.970000,bottom,270
C15,7.080000,-3.970000,bottom,90
C16,8.690000,-3.970000,bottom,90
C17,22.662500,-13.277500,bottom,90
C18,22.662500,-16.247500,bottom,270
C19,16.760000,-28.580000,bottom,0
C20,-2.760000,-28.580000,bottom,0
C21,-20.520000,-26.670000,bottom,270
C22,33.124000,-5.410000,bottom,0
C23,36.040000,-41.470000,bottom,0
C24,-35.420000,-46.120000,bottom,270
C25,-23.720000,-13.190000,bottom,270
C26,-24.510000,-35.250000,bottom,180
C27,-4.060000,-35.630000,bottom,270
C28,15.320000,-35.730000,bottom,270
D1,28.090000,-6.430000,bottom,180
D2,31.240000,-43.060000,bottom,180
D3,-30.970000,-43.590000,bottom,0
D4,-27.860000,-13.370000,bottom,180
D5,-19.520000,-34.375000,bottom,180
D6,0.030000,-34.245000,bottom,180
D7,19.480000,-34.080000,bottom,180
F1,-7.040000,-9.550000,bottom,180
P1,0.000000,0.000000,bottom,0
Q1,21.010000,-6.880000,bottom,0
R1,-2.190000,-22.430000,bottom,0
R2,-1.920000,-5.910000,bottom,270
R3,2.270000,-5.950000,bottom,270
R4,5.340000,-22.770000,bottom,0
R5,7.226624,-17.715000,bottom,0
R6,7.226624,-18.715000,bottom,0
R7,10.900000,-3.940000,bottom,270
R8,20.777500,-15.462500,bottom,270
R9,18.710000,-7.130000,bottom,270
R10,23.640000,-6.240000,bottom,270
S1,19.500000,-30.000000,bottom,270
S2,0.000000,-30.000000,bottom,270
S3,-19.500000,-30.000000,bottom,270
U1,-14.310000,-13.430000,bottom,270
U2,1.500000,-21.564000,bottom,270
U3,-0.965000,-9.140000,bottom,270
U4,10.707500,-7.997500,bottom,270
U5,13.637500,-16.727500,bottom,270
Y1,26.778500,-14.603500,bottom,270